,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021007,Braidwood,4396,4484,88,2,11,64,13,3418.4,1.3
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021008,Karabar,8481,8446,-35,-0.4,82,-169,52,7,1209.6
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021009,Queanbeyan,11418,11373,-45,-0.4,46,-251,160,4.8,2388.3
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021010,Queanbeyan - East,5097,5132,35,0.7,64,-111,82,13,394.7
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra,12871,12877,6,0,110,-232,128,13.7,941.7
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021610,Googong,7348,8497,1149,15.6,170,918,61,6.9,1228.5
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021611,Queanbeyan Surrounds,17271,17664,393,2.3,118,206,69,3047.7,5.8
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031013,Bombala,2467,2469,2,0.1,7,-8,3,3990.1,0.6
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031014,Cooma,6780,6716,-64,-0.9,7,-148,77,103.6,64.8
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031015,Cooma Surrounds,3538,3554,16,0.5,15,-6,7,6251,0.6
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031016,Jindabyne - Berridale,8380,8557,177,2.1,28,58,91,3939.8,2.2
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041017,Batemans Bay,8663,8653,-10,-0.1,-33,-3,26,63.7,135.8
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041018,Batemans Bay - South,9030,9069,39,0.4,-42,55,26,30.6,296.4
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041019,Bega - Tathra,8926,9009,83,0.9,-16,74,25,183.9,49
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041020,Bega-Eden Hinterland,9710,9824,114,1.2,0,67,47,4709.8,2.1
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041021,Broulee - Tomakin,3852,3932,80,2.1,-23,88,15,24.2,162.3
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041022,Deua - Wadbilliga,41,41,0,0,0,0,0,2782,0
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041023,Eden,3424,3459,35,1,-9,38,6,94.8,36.5
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041024,Eurobodalla Hinterland,3611,3700,89,2.5,6,74,9,1460,2.5
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041025,Merimbula - Tura Beach,11597,11616,19,0.2,-70,38,51,97.3,119.3
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041026,Moruya - Tuross Head,8641,8684,43,0.5,-18,33,28,165.4,52.5
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041027,Narooma - Bermagui,9947,10016,69,0.7,-115,153,31,252.7,39.6
1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051539,Goulburn,25014,25304,290,1.2,11,69,210,64.8,390.6
1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051540,Goulburn Surrounds,14120,14258,138,1,16,77,45,9035.1,1.6
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061541,Yass,6807,6816,9,0.1,-9,-12,30,99.7,68.3
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061542,Yass Surrounds,12966,13197,231,1.8,54,120,57,5680.6,2.3
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061543,Young,10955,10971,16,0.1,50,-88,54,505.8,21.7
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061544,Young Surrounds,7718,7769,51,0.7,11,20,20,5849.8,1.3
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011028,Avoca Beach - Copacabana,7493,7570,77,1,23,-37,91,6.4,1175.9
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011029,Box Head - MacMasters Beach,11146,11213,67,0.6,20,-33,80,32.1,349.5
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011030,Calga - Kulnura,4675,4694,19,0.4,19,-32,32,768,6.1
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011031,Erina - Green Point,14676,14680,4,0,-186,60,130,33.8,434.4
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011032,Gosford - Springfield,22083,22599,516,2.3,108,103,305,16.9,1336.2
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011033,Kariong,6464,6490,26,0.4,67,-81,40,8.3,781.3
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011034,Kincumber - Picketts Valley,7598,7590,-8,-0.1,-20,-33,45,11.7,647.8
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011035,Narara,7303,7344,41,0.6,49,-63,55,7.7,953.5
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011036,Niagara Park - Lisarow,8253,8264,11,0.1,7,-37,41,16.7,493.9
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011037,Point Clare - Koolewong,6632,6667,35,0.5,-25,12,48,6.8,983.4
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011038,Saratoga - Davistown,7282,7348,66,0.9,16,1,49,4.8,1541
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011039,Terrigal - North Avoca,15230,15437,207,1.4,61,-78,224,10.5,1473.1
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011040,Umina - Booker Bay - Patonga,24917,25007,90,0.4,-86,-14,190,25.2,991.2
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011041,Wamberal - Forresters Beach,10789,10862,73,0.7,27,-42,88,13.7,791.6
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011042,Woy Woy - Blackwall,14437,14554,117,0.8,-86,87,116,17.4,836.6
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011043,Wyoming,11302,11339,37,0.3,-33,2,68,8.4,1352.9
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021044,Bateau Bay - Killarney Vale,22931,22990,59,0.3,-58,23,94,10.9,2117
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021045,Blue Haven - San Remo,11557,11620,63,0.5,114,-104,53,21,553.9
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021046,Budgewoi - Buff Point - Halekulani,9911,9967,56,0.6,41,-19,34,9.3,1068.3
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021047,Chittaway Bay - Tumbi Umbi,16223,16354,131,0.8,17,21,93,24.5,667.5
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021048,Gorokan - Kanwal - Charmhaven,22631,22740,109,0.5,-70,60,119,11.2,2021.5
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021049,Jilliby - Yarramalong,3498,3566,68,1.9,13,34,21,346.8,10.3
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021050,Lake Munmorah - Mannering Park,11082,11055,-27,-0.2,-41,-25,39,35.5,311.5
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021051,Ourimbah - Fountaindale,4915,4927,12,0.2,33,-60,39,114.1,43.2
